Kırık Beyaz / Broken White-242 242 242
Hayalet Beyaz / Ghost White -248 248 255
Beyaz Duman / White Smoke-245 245 245
Gainsboro Beyazı / Gainsboro-220 220 220
Beyaz / White-255 255 255
Siyah / Black-0 0 0
Orta Gri / Medium Gray-128 128 128	
Orta Gri 2 / Medium Gray 2-144 143 143
Koyu Gri / Dark Gray-102 102 102
Koyu Gri 2 / Dark Gray 2-95 95 95
Bulanık Gri / Dim Gray-105 105 105
Açık Gri / Light Gray-221 221 221
Açık Gri 2 / Light Gray 2-211 211 211
Gri / Gray-190 190 190
Gri 11 / Gray11-28 28 28
Gri 21 / Gray21-54 54 54
Gri 31 / Gray31-79 79 79
Gri 41 / Gray41-105 105 105
Gri 51 / Gray51-130 130 130
Gri 61 / Gray61-156 156 156
Gri 71 / Gray71-181 181 181
Gri 81 / Gray81-207 207 207
Gri 91 / Gray91-232 232 232
Koyu Gri / Dark Gray-169 169 169
Açık Barut Grisi / Light Slate Gray-119 136 153
Barut Grisi / Slate Gray-112 128 144
Barut Grisi 1 / SlateGray1-198 226 255
Barut Grisi 2 / SlateGray2-185 211 238
Barut Grisi 3 / SlateGray3-159 182 205
Barut Grisi 4 / SlateGray4-108 123 139
Koyu Barut Grisi / Dark Slate Gray-47 79 79
Koyu Barut Grisi 1 / DarkSlateGray1-151 255 255
Koyu Barut Grisi 2 / DarkSlateGray2-141 238 238
Koyu Barut Grisi 3 / DarkSlateGray3-121 205 205
Koyu Barut Grisi 4 / DarkSlateGray4-82 139 139
Grimsi Yeşil (Kül Yeşili) / Grayish Green-74 128 77
Grayish Spring Bud-111 128 74
Grayish Magenta-139 101 139
Pale Golden Rod-238 232 170
Floral White-255 250 240
Light Golden Rod Yellow-250 250 210
Saddle Brown-139 69 19
Sienna-160 82 45
Old Lace-253 245 230
Linen-250 240 230
Papaya Whip-255 239 213
Blanched Almond-255 235 205
Moccasin-255 228 181
Peru-205 133 63
Beige-245 245 220
Sandy Brown-244 164 96
Snow 1-255 250 250
Snow2-238 233 233
Snow3-205 201 201
Snow4-139 137 137
Seashell 1-255 245 238
Seashell2-238 229 222
Seashell3-205 197 191	# cdc5bf
Seashell4-139 134 130	# 8b8682
Antique White-250 235 215	# faebd7
AntiqueWhite1-255 239 219	# ffefdb
AntiqueWhite2-238 223 204	# eedfcc
AntiqueWhite3-205 192 176	# cdc0b0
AntiqueWhite4-139 131 120	# 8b8378
Bisque 1-255 228 196	# ffe4c4
Bisque2-238 213 183	# eed5b7
Bisque3-205 183 158	# cdb79e
Bisque4-139 125 107	# 8b7d6b
Peach Puff 1-255 218 185	# ffdab9
PeachPuff2-238 203 173	# eecbad
PeachPuff3-205 175 149	# cdaf95
PeachPuff4-139 119 101	# 8b7765
Navajo White1-255 222 173	# ffdead
NavajoWhite2-238 207 161	# eecfa1
NavajoWhite3-205 179 139	# cdb38b
NavajoWhite4-139 121 94	# 8b795e
Lemon Chiffon 1-255 250 205	# fffacd
LemonChiffon2-238 233 191	# eee9bf
LemonChiffon3-205 201 165	# cdc9a5
LemonChiffon4-139 137 112	# 8b8970
Cornsilk 1-255 248 220	# fff8dc
Cornsilk2-238 232 205	# eee8cd
Cornsilk3-205 200 177	# cdc8b1
Cornsilk4-139 136 120	# 8b8878
Ivory 1-255 255 240	# fffff0
Ivory2-238 238 224	# eeeee0
Ivory3-205 205 193	# cdcdc1
Ivory4-139 139 131	# 8b8b83
Mint Cream-245 255 250	# f5fffa
Honeydew1-240 255 240	# f0fff0
Honeydew2-224 238 224	# e0eee0
Honeydew3-193 205 193	# c1cdc1
Honeydew4-131 139 131	# 838b83
Lavender Blush 1-255 240 245	# fff0f5
LavenderBlush2-238 224 229	# eee0e5
LavenderBlush3-205 193 197	# cdc1c5
LavenderBlush4-139 131 134	# 8b8386
Lavender-230 230 250	# e6e6fa
Misty Rose 1-255 228 225	# ffe4e1
MistyRose2-238 213 210	# eed5d2
MistyRose3-205 183 181	# cdb7b5
MistyRose4-139 125 123	# 8b7d7b
Azure 1-240 255 255	# f0ffff
Azure2-224 238 238	# e0eeee
Azure3-193 205 205	# c1cdcd
Azure4-131 139 139	# 838b8b
Alice Blue-240 248 255	# f0f8ff
Light Slate Blue-132 112 255	# 8470ff
Medium Slate Blue-123 104 238	# 7b68ee
SlateBlue-106 90 205	# 6a5acd
